	ERR4701919_bracken_species	ERR4701950_bracken_species	ERR4701953_bracken_species	ERR4701956_bracken_species	ERR4701959_bracken_species	ERR4701962_bracken_species	ERR4701965_bracken_species	ERR4701968_bracken_species	ERR4701971_bracken_species	ERR4701974_bracken_species	ERR4701976_bracken_species	ERR4701978_bracken_species	ERR4701982_bracken_species	ERR4701984_bracken_species	ERR4701988_bracken_species	ERR4701990_bracken_species	ERR4701994_bracken_species	ERR4701996_bracken_species	ERR4701998_bracken_species	ERR4702000_bracken_species	ERR4702004_bracken_species	ERR4702007_bracken_species	ERR4702012_bracken_species	ERR4702014_bracken_species	ERR4702016_bracken_species	ERR4702019_bracken_species	ERR4702024_bracken_species	ERR8529715_bracken_species	ERR8529719_bracken_species	ERR8529723_bracken_species	ERR8529727_bracken_species	ERR8529731_bracken_species	ERR8529735_bracken_species	ERR8529739_bracken_species	ERR8529743_bracken_species	ERR8529747_bracken_species	ERR8529751_bracken_species	ERR8529755_bracken_species	ERR8529759_bracken_species	ERR8529763_bracken_species	ERR8529767_bracken_species	ERR8529771_bracken_species	ERR8529775_bracken_species	ERR8529779_bracken_species	ERR8529783_bracken_species
392593	0	5	7	8	18	2	4	3	21	10	9	4	0	2	0	4	0	9	3	8	2	3	2	10	5	2	2	0	0	0	5	0	2	5	3	6	0	0	0	0	0	0	2	2	3
3037797	0	4	0	4	4	0	8	2	21	22	6	0	0	3	6	0	5	3	2	2	4	2	0	0	3	7	2	0	0	0	0	0	0	2	0	4	0	0	0	0	3	0	0	2	5
34029	0	2	10	3	3	8	7	6	10	10	4	5	5	2	0	0	2	3	3	12	0	4	0	0	11	9	7	2	0	2	0	0	0	0	0	4	2	0	4	0	2	0	0	4	0
1768242	0	6	23	10	10	7	4	8	21	4	5	2	0	4	0	0	3	13	2	0	8	0	0	7	0	2	7	0	0	0	0	0	0	2	0	2	0	0	0	3	2	2	0	0	0
2898431	0	6	16	4	0	0	7	4	4	22	0	6	2	2	0	0	0	0	5	6	5	4	0	7	2	12	3	4	0	0	3	0	0	2	0	2	0	0	2	0	0	0	2	0	0
946333	0	6	16	0	0	11	6	14	21	26	3	9	4	4	3	3	4	2	0	0	2	2	0	0	0	0	2	3	0	3	0	0	0	2	0	0	0	0	4	0	0	5	0	4	4
3015996	0	12	6	2	4	0	21	8	6	9	0	0	0	4	0	4	0	0	0	2	4	4	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	2	0	3
69395	0	10	11	0	3	3	2	7	15	12	2	10	0	0	0	2	2	4	2	2	3	5	0	4	2	0	0	3	0	0	0	0	0	0	0	5	5	0	2	0	0	4	0	5	2
83637	0	10	0	7	4	0	0	7	0	16	0	0	0	2	0	6	0	4	0	0	6	2	0	0	0	3	2	0	4	0	0	0	2	0	0	0	5	0	0	0	0	2	0	0	0
2748629	0	18	6	0	4	2	0	17	10	11	4	0	0	8	0	0	4	6	8	9	0	10	2	0	6	0	0	0	0	0	0	6	2	2	2	3	0	0	5	0	0	0	5	3	3
1404411	0	2	4	4	11	4	9	13	4	12	0	2	0	2	0	0	0	0	0	5	7	3	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
303	0	36	9	11	0	10	4	20	0	41	0	6	6	18	5	19	0	0	3	2	0	0	0	8	0	0	3	0	22	0	0	0	0	0	0	0	0	0	16	0	0	0	5	0	0
287	0	11	13	0	0	11	11	145	146	404	0	8	4	6	3	0	118	4	0	0	15	4	11	0	0	7	6	0	0	0	0	2	0	84	71	80	43	0	15	0	0	5	62	171	126
562	0	18	12	0	0	5	0	964	1370	1092	0	0	0	0	0	0	6	5	0	0	10	0	0	4	0	0	0	0	0	12	21	23	0	0	0	0	0	26	0	0	0	0	0	11	20
549	0	2	4	4	0	10	173	26	32	152	0	0	0	0	5	5	0	0	3	9	0	0	0	0	0	2	0	0	64	0	0	0	0	0	2	0	0	0	0	0	0	3	0	6	0
470	0	14	0	13	14	0	32	36	16	245	5	13	8	4	0	0	20	0	0	0	3	78	0	0	0	53	15	9	0	0	0	0	0	0	0	0	12	0	37	6	24	65	0	0	4
34062	0	32	2	5	5	13	0	20	17	0	0	0	6	17	4	6	0	69	13	10	0	2	0	131	2	0	0	9	3	0	2	0	0	0	0	0	0	0	0	0	0	0	4	9	2
339	0	2	10	0	326	510	681	19	0	65	0	0	75	36	0	0	4	0	0	0	79	5	0	0	55	3	0	82	50	8	10	14	19	0	0	3	0	0	0	0	0	0	0	4	4
2663009	0	5	0	0	0	0	0	3	0	15	0	4	0	0	3	3	0	3	17	13	2	0	0	0	7	3	12	0	0	0	0	0	0	0	0	4	0	0	5	0	2	3	0	0	0
1351	0	0	6	0	6	7	42	45	33	152	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	11	49	15	0	0	0	7	7	0	6	0	0	0	0	0	0
2861282	0	0	5	5	15	0	23	0	10	57	0	2	9	50	0	6	0	0	7	0	0	0	0	8	4	0	0	8	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
2010972	0	0	8	7	10	9	22	20	6	23	3	2	4	13	0	0	2	0	6	0	3	0	0	0	0	0	2	3	3	0	0	0	2	2	5	5	0	0	0	0	2	4	0	5	0
40324	0	0	18	0	18	2	20	21	40	127	0	0	0	4	0	4	0	0	0	7	0	0	0	15	6	0	3	4	72	0	2	0	0	0	0	0	10	0	0	0	0	6	3	0	0
40214	0	0	3	0	7	2	4	46	68	811	4	2	3	6	7	18	3	0	5	15	0	58	0	0	6	16	2	25	5	2	0	0	0	0	0	0	0	0	0	0	0	0	9	39	18
1197460	0	0	0	7	0	9	17	10	6	4	3	2	0	2	2	2	0	0	0	3	0	0	0	0	7	0	2	0	0	0	0	0	0	0	2	3	4	0	0	0	0	0	0	0	0
423477	0	0	0	0	10	2	0	0	0	10	5	13	0	0	6	0	4	5	18	3	2	0	3	0	3	0	19	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0
108980	0	0	0	0	157	141	239	0	0	18	0	0	7	9	7	3	4	4	0	0	35	5	0	0	31	10	0	33	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
2892442	0	0	0	0	0	16	0	0	17	33	6	41	0	13	20	101	0	4	9	58	4	5	0	0	19	0	37	99	219	201	137	85	18	0	0	21	20	0	0	0	0	0	0	0	0
46124	0	0	0	0	0	0	2	10	5	61	4	8	0	0	2	0	0	0	9	6	2	0	0	0	19	0	3	0	0	0	0	0	0	0	2	2	0	0	6	0	3	0	0	0	0
28449	0	0	0	0	0	0	0	4	6	38	5	6	0	0	4	7	4	3	18	15	8	0	6	0	6	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2
